,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
740735,1577060420,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
747139,1577060430,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
751715,1577060440,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
759710,1577060450,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
764465,1577060460,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
771502,1577060470,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
778282,1577060480,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
782360,1577060490,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
789147,1577060500,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
796381,1577060510,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
800963,1577060520,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
807583,1577060530,49d3fa,46.69622388936707,21.759727478027344,221.6059712983956,124.50167270320642,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10477.5,1577060279.1260002,1577060285.947
